dteday,yr,season,workingday,weekday,atemp,hum,casual,registered,dailycount
26/03/2011,0,2,0,6,0.257571,0.394167,981,1515,2496
02/04/2011,0,2,0,6,0.315637,0.65375,898,1354,2252
09/04/2011,0,2,0,6,0.341529,0.8775,879,1576,2455
16/04/2011,0,2,0,6,0.425492,0.888333,121,674,795
23/04/2011,0,2,0,6,0.450121,0.887917,1462,2574,4036
30/04/2011,0,2,0,6,0.464021,0.503333,1965,3347,5312
07/05/2011,0,2,0,6,0.512621,0.54125,1612,3102,4714
14/05/2011,0,2,0,6,0.500629,0.9225,902,2507,3409
21/05/2011,0,2,0,6,0.571975,0.626667,2258,3547,5805
28/05/2011,0,2,0,6,0.612379,0.729583,2001,2757,4758
04/06/2011,0,2,0,6,0.594696,0.45625,1869,3473,5342
11/06/2011,0,2,0,6,0.678038,0.654583,1729,3237,4966
18/06/2011,0,2,0,6,0.643954,0.670417,1807,3312,5119
25/06/2011,0,3,0,6,0.643313,0.483333,1782,3420,5202
02/07/2011,0,3,0,6,0.667308,0.444583,2204,2915,5119
09/07/2011,0,3,0,6,0.664158,0.609167,1988,3348,5336
16/07/2011,0,3,0,6,0.638263,0.585,2418,3505,5923
23/07/2011,0,3,0,6,0.804287,0.5,987,2298,3285
30/07/2011,0,3,0,6,0.728537,0.465833,1559,2916,4475
06/08/2011,0,3,0,6,0.676154,0.755,1521,2773,4294
13/08/2011,0,3,0,6,0.645858,0.729583,1504,2646,4150
20/08/2011,0,3,0,6,0.648996,0.674167,1914,3277,5191
27/08/2011,0,3,0,6,0.635556,0.85,226,889,1115
03/09/2011,0,3,0,6,0.633213,0.716667,1935,2549,4484
10/09/2011,0,3,0,6,0.607962,0.75375,1750,3595,5345
17/09/2011,0,3,0,6,0.478512,0.718333,1434,3077,4511
